TASK,MODEL_NAME,MODEL_SCOPE,DATASET,FEATURE_SET,SCALING_LABEL,COMPUTE_TYPE,USE_GPU,NUM_NODES,WORKERS_PER_NODE,TOTAL_WORKERS,EPOCHS,BATCH_SIZE,TRAIN_ROWS,METRIC_ROWS,TRAIN_SECONDS,PREDICT_SECONDS,TRAIN_LOSS,MAE,RMSE,R2,LOG_RMSE,PEAK_PROCESS_MEMORY_MB,PEAK_GPU_MEMORY_MB,ARTIFACT_LOCATION,CREATED_AT
T10,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_1_node_smoke_1pct_train_1pct_test,Snowflake PyTorch DDP GPU,TRUE,1,1,1,1,4096,446464,90112,5.488676309585571,1.3743977546691895,2.071075863247618,78.89484223723412,2028.968341277599,-711.5998808616813,1.1649113464233194,1408.48046875,20.63427734375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/a6f371031ff4443e80e740353c8e0a38,2026-06-24 04:01:43.895
T10,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_1_node_full_train_full_test,Snowflake PyTorch DDP GPU,TRUE,1,1,1,1,8192,45146112,9175040,20.499141216278076,4.03495717048645,0.3843604820849786,18.78320681226573,352.2646900104188,-19.497224424274204,0.5584494933129418,3665.49609375,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/940d9035947444c89f5fe6634fe9c360,2026-06-24 04:05:06.275
T10,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_1_node_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,1,1,1,10,8192,451461120,9175040,201.07401251792908,4.127642869949341,0.16327209726036965,14.31177068543953,109.9366808897448,-0.9963747577863349,0.3871187467693264,3743.359375,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/2f702447aeff4117a6905a798e29a217,2026-06-24 04:12:46.328
T10,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,451379200,9175040,150.3807418346405,3.0246639251708984,0.16090788288824373,5.139586748482127,27.173945422602113,0.8780233480004497,0.3577892176288438,3241.92578125,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/8c1a1bfd323640cb92e949d266b38b10,2026-06-24 04:30:28.694
T10,Snowflake_PyTorch_DDP,global,all,baseline_without_augmentation,pytorch_gpu_baseline_4_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,4,1,4,10,8192,451215360,9175040,116.60863137245178,2.9044790267944336,0.16628447084931514,5.976633484183029,68.0432020530753,0.23518698699468266,0.35636612959752095,2791.5078125,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/18e2370150f2407a8221c80d79813d51,2026-06-24 04:38:04.031
T10,Snowflake_PyTorch_DDP,global,all,augmented_with_t5,pytorch_gpu_augmented_4_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,4,1,4,10,8192,451215360,9175040,131.42453479766846,2.9886467456817627,0.19616909972607818,5.496185936007117,44.517475766564296,0.6718549993295162,0.38845770415914177,3239.25,25.22216796875,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/e6a897d1b34a4ca4a54e704ea9e0dc27,2026-06-24 04:41:27.756
T10,Snowflake_PyTorch_DDP,separate,yellow,baseline_without_augmentation,pytorch_gpu_separate_yellow_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,112721920,2293760,51.563737869262695,1.8603413105010986,0.24940819209038828,6.156018579485161,30.868390772851065,0.6868412990525328,0.46103075353595874,2283.640625,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/609de3697ecc4d72ac55975e8d535b17,2026-06-24 05:12:42.546
T10,Snowflake_PyTorch_DDP,separate,green,baseline_without_augmentation,pytorch_gpu_separate_green_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,112721920,2293760,44.28051519393921,1.2580530643463135,0.08379503307858105,0.14682753920954253,0.6613457079791684,0.8513958244766168,0.17939590571155029,2293.59765625,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/fd5a9e23f00740c0ae4b97461b81e804,2026-06-24 05:14:06.460
T10,Snowflake_PyTorch_DDP,separate,fhv,baseline_without_augmentation,pytorch_gpu_separate_fhv_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,112721920,2293760,43.02448511123657,1.6406705379486084,0.17301739673176322,1.0010332027051065,1.8190391424588344,0.6893940415345126,0.43738254522668046,2252.83984375,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/894aed48ae714e558499d8a2105ea2ea,2026-06-24 05:15:54.874
T10,Snowflake_PyTorch_DDP,separate,fhvhv,baseline_without_augmentation,pytorch_gpu_separate_fhvhv_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,112721920,2293760,44.519309520721436,1.8318140506744385,0.36111284753275213,26.72698406789984,136.1815788939274,-0.36549383013408265,0.43192426871606876,2247.36328125,24.93115234375,@BIGDATA_TAXI_MZMB.GOLD.T7_MODEL_STAGE/model/de1c6ed88718457993dcd7187c2a6479,2026-06-24 05:17:47.894
T10,Combined_Separate_PyTorch_DDP_Models,separate_combined,yellow+green+fhv+fhvhv,baseline_without_augmentation,pytorch_gpu_combined_separate_2_nodes_full_train_full_test_e10,Snowflake PyTorch DDP GPU,TRUE,2,1,2,10,8192,450887680,9175040,183.3880476951599,6.590878963470459,0.21683336735837117,8.507715847324912,69.82482771281228,0.1943245458569265,,2293.59765625,24.93115234375,,2026-06-24 05:21:25.829
